ticker,close,volume,change_%,rvol,rvol_3d,mom_3d,mom_5d,mom_1mo,close_strength,macro_position,rvol_ratio,option_oi,pct_oi_mom,pct_skew,squeeze_skor,insider_bonus,quant_score,score_diff
GEN,29.64,6941637.0,1.13,1.3,1.17,1.82,5.18,9.09,0.8,1.0,1.3,1.3,54.7,58.5,53.39,10,60.4,0.8
GPC,139.49,1645202.0,1.12,1.44,1.07,2.8,4.94,11.74,0.88,1.0,1.44,1.44,57.2,53.5,43.12,10,58.0,50.2
BBY,87.44,6639304.0,2.52,2.01,1.37,-0.05,1.99,-0.43,0.76,0.92,2.01,2.01,46.7,68.5,48.58,10,56.7,43.4
A,155.08,3191619.0,0.2,1.73,1.73,1.08,-0.78,11.8,0.89,0.92,1.73,1.73,47.1,86.5,19.88,10,56.4,7.1
CRWD,189.18,12947753.0,2.05,1.69,1.24,-0.79,-0.61,2.14,0.79,0.73,1.69,1.69,43.4,62.0,22.0,10,37.7,20.2
DPZ,344.56,884663.0,-1.53,1.17,1.12,-1.28,3.05,-2.18,0.42,0.48,1.17,1.17,37.0,56.0,48.66,10,12.9,-29.9
ESS,288.17,809688.0,-1.31,2.01,1.35,-1.85,0.16,2.24,0.04,0.84,2.01,2.01,35.9,67.5,38.75,10,11.9,-3.7
DLTR,132.18,3367105.0,-1.71,1.74,1.45,-3.34,2.9,2.81,0.28,0.91,1.74,1.74,35.9,72.5,36.34,10,11.9,-1.6
FCX,79.0,18256242.0,-1.14,1.28,1.3,1.54,10.92,24.53,0.37,0.97,1.28,1.28,63.2,65.0,15.2,10,11.8,-52.7
DAL,83.08,5717153.0,-0.65,1.23,1.11,0.73,2.49,-6.22,0.04,0.71,1.23,1.23,39.2,55.5,30.41,10,11.3,-26.9
CHWY,22.97,8286166.0,-6.97,1.3,1.12,-6.24,-3.81,0.66,0.01,0.48,1.3,1.3,13.2,56.0,50.0,10,11.1,8.5
