ticker,short_interest_%,days_to_cover,squeeze_skor,is_micro
A,2.29,2.76,20.67,0
AAPL,0.96,2.97,17.73,0
ABBV,1.23,4.0,23.69,0
ABNB,3.44,2.56,23.12,0
ABT,1.43,2.83,18.44,0
ACGL,2.53,4.23,28.74,0
ACHR,14.6,2.5,56.3,0
ACN,4.64,4.62,37.02,0
ADBE,4.89,3.99,34.62,0
ADI,2.02,2.43,18.21,0
ADM,3.93,3.59,29.74,0
ADP,3.03,4.98,33.99,0
ADSK,4.49,4.45,35.72,0
AEE,5.1,8.27,56.65,0
AEP,4.47,6.61,46.46,0
AES,2.46,2.35,19.13,0
AFL,2.84,5.18,34.42,0
AFRM,5.32,3.37,32.81,0
AI,31.49,10.08,100.0,0
AIG,1.93,2.93,20.44,0
AIZ,3.76,3.65,29.53,0
AJG,2.64,5.09,33.37,0
AKAM,15.56,5.46,73.98,0
ALB,0.06,0.03,0.33,0
ALGN,6.2,4.37,40.45,0
ALL,0.0,0.0,0.0,0
ALLE,4.67,2.89,28.46,0
ALT,25.59,11.28,100.0,0
AMAT,1.97,2.17,16.76,0
AMC,4.23,1.69,21.14,0
AMCR,4.49,4.91,38.02,0
AMD,2.57,1.88,17.11,0
AME,1.27,1.88,13.21,0
AMGN,2.4,5.11,32.75,0
AMP,4.21,7.18,48.53,0
AMT,1.47,2.65,17.66,0
AMZN,0.94,2.16,13.62,0
ANET,1.39,1.96,13.97,0
AON,1.8,4.15,26.15,0
AOS,11.01,7.32,69.63,0
APA,9.1,4.22,48.4,0
APD,1.85,4.12,26.15,0
APH,1.24,2.32,15.32,0
APO,4.33,6.77,46.84,0
APP,3.63,1.54,18.59,0
APTV,7.05,1.85,30.4,0
ARDX,8.98,4.44,49.14,0
ARE,5.9,3.35,34.45,0
ARES,14.48,6.99,78.39,0
ARM,11.52,3.87,53.91,0
ASTS,21.46,5.92,93.98,0
ATO,2.97,4.29,30.36,0
AVGO,1.08,2.58,16.14,0
AVY,4.1,2.53,24.95,0
AWK,7.53,5.2,48.59,0
AXON,5.28,4.02,35.94,0
AXP,1.99,4.48,28.37,0
AXSM,9.12,4.57,50.21,0
AZO,2.99,1.94,18.67,0
BA,0.01,0.02,0.13,0
BAC,0.0,0.0,0.0,0
BALL,3.43,4.4,32.29,0
BAX,7.11,3.66,39.63,0
BBAI,30.5,6.85,100.0,0
BBY,7.97,3.8,42.91,0
BDX,4.47,5.76,42.21,0
BEAM,38.62,15.84,100.0,0
BEN,4.21,4.26,33.93,0
BF-B,12.54,4.55,60.37,0
BG,5.07,4.81,39.26,0
BIIB,4.32,7.4,49.96,0
BITF,0.0,0.0,0.0,0
BKNG,2.69,3.75,26.82,0
BKR,3.08,4.19,30.19,0
BLDR,8.69,4.08,46.47,0
BLK,1.26,3.33,20.43,0
BLNK,10.34,12.33,92.67,1
BMY,2.16,4.07,26.83,0
BNTX,3.45,1.31,16.9,0
BNY,0.0,0.01,0.05,0
BOWL,0.0,0.0,0.0,0
BR,2.94,2.17,19.67,0
BRK-B,0.96,2.33,14.53,0
